chapter	status	seconds	similarity_vs_book	note	rendered_sha16	ref_sha16	rendered_bytes	ref_bytes	rendered_path
index	OK	4	0.9955		88cc3b65731e0450	e73766184ec85c9f	73092	73600	/home/raw996/ae/render_p3/html_outputs/index.html
age_pyramid	OK	9	0.9991		3bef24c76c6c29d3	1201468f4c88241a	200529	201114	/home/raw996/ae/render_p3/html_outputs/new_pages/age_pyramid.html
apply_functions	OK	2		never in _quarto.yml chapters: list: template skeleton, no R code chunks	dbb662b7f7c31b05	NA	18704	NA	/home/raw996/ae/render_p3/new_pages/apply_functions.html
basics	OK	7	0.9997		58f907f97164afb8	50b01431a04181ba	233960	234326	/home/raw996/ae/render_p3/html_outputs/new_pages/basics.html
cat_about_book	OK	2		never in _quarto.yml chapters: list: 1-line {.unnumbered} PART-divider stub	ba1f17b696ade358	NA	15625	NA	/home/raw996/ae/render_p3/new_pages/cat_about_book.html
cat_advanced	OK	1		never in _quarto.yml chapters: list: 1-line {.unnumbered} PART-divider stub	bd9ee32586b05992	NA	15589	NA	/home/raw996/ae/render_p3/new_pages/cat_advanced.html
cat_analysis	OK	1		never in _quarto.yml chapters: list: 1-line {.unnumbered} PART-divider stub	d287687d210ee3d6	NA	15589	NA	/home/raw996/ae/render_p3/new_pages/cat_analysis.html
cat_basics	OK	2		never in _quarto.yml chapters: list: 1-line {.unnumbered} PART-divider stub	1a2fb45555e6fecb	NA	15563	NA	/home/raw996/ae/render_p3/new_pages/cat_basics.html
cat_data_management	OK	1		never in _quarto.yml chapters: list: 1-line {.unnumbered} PART-divider stub	7605f3d6914aa1a8	NA	15680	NA	/home/raw996/ae/render_p3/new_pages/cat_data_management.html
cat_data_viz	OK	2		never in _quarto.yml chapters: list: 1-line {.unnumbered} PART-divider stub	1bd4da4d7e219061	NA	15609	NA	/home/raw996/ae/render_p3/new_pages/cat_data_viz.html
cat_introduction	OK	1		never in _quarto.yml chapters: list: 1-line {.unnumbered} PART-divider stub	a6ee514255ce38b3	NA	15647	NA	/home/raw996/ae/render_p3/new_pages/cat_introduction.html
cat_misc	OK	1		never in _quarto.yml chapters: list: 1-line {.unnumbered} PART-divider stub	96e773cad83edc72	NA	15555	NA	/home/raw996/ae/render_p3/new_pages/cat_misc.html
cat_preview	OK	2		never in _quarto.yml chapters: list: 1-line {.unnumbered} PART-divider stub	1825bc02e48bfe58	NA	15588	NA	/home/raw996/ae/render_p3/new_pages/cat_preview.html
cat_reports_dashboards	OK	1		never in _quarto.yml chapters: list: 1-line {.unnumbered} PART-divider stub	501bee345c0ac943	NA	15727	NA	/home/raw996/ae/render_p3/new_pages/cat_reports_dashboards.html
characters_strings	OK	7	0.9991		4bcc746c4cb250fc	0e72861592ec982c	212459	213055	/home/raw996/ae/render_p3/html_outputs/new_pages/characters_strings.html
cleaning	OK	16	0.9997		3a0e443377ee26d3	06dc31cac28a95cb	366490	366899	/home/raw996/ae/render_p3/html_outputs/new_pages/cleaning.html
collaboration	OK	5	0.9994		efea30f07062885c	286943277f7804e0	137775	138283	/home/raw996/ae/render_p3/html_outputs/new_pages/collaboration.html
combination_analysis	OK	8	0.9970		c23f817cc3dee3fc	5d622cc4569da054	125364	126049	/home/raw996/ae/render_p3/html_outputs/new_pages/combination_analysis.html
contact_tracing	OK	10	0.9992		143dc6dc30bf3c73	67df39674f1c0de9	215428	216029	/home/raw996/ae/render_p3/html_outputs/new_pages/contact_tracing.html
data_table	OK	4	0.9983		2e6e562f8ca832e6	a069c98be6703159	88208	88830	/home/raw996/ae/render_p3/html_outputs/new_pages/data_table.html
data_used	OK	4	0.9983		73c310f0c093b98b	a3c00e86876a4ee3	91557	92136	/home/raw996/ae/render_p3/html_outputs/new_pages/data_used.html
dates	OK	6	0.9977		8e8b1d04db749881	aa99c22553b6408b	147730	148212	/home/raw996/ae/render_p3/html_outputs/new_pages/dates.html
deduplication	OK	5	0.9991		e33000fad29ed9da	3ae18289407658b7	151044	151625	/home/raw996/ae/render_p3/html_outputs/new_pages/deduplication.html
descriptive_statistics	OK	15		never in _quarto.yml chapters: list: 932-line legacy page, superseded by tables_descriptive.qmd	5acf35d0c315a927	NA	287224	NA	/home/raw996/ae/render_p3/new_pages/descriptive_statistics.html
diagrams	OK	6	0.9985		b5bea98b0fefd09a	d6a9dc11100fb8f0	163246	163848	/home/raw996/ae/render_p3/html_outputs/new_pages/diagrams.html
directories	OK	5	0.9952		f5347849e3b73f48	d33fc72a08821e01	97439	98255	/home/raw996/ae/render_p3/html_outputs/new_pages/directories.html
editorial_style	OK	4	0.9978		e16134f13703a354	eba589d4a3b43bab	75482	76150	/home/raw996/ae/render_p3/html_outputs/new_pages/editorial_style.html
epicurves	OK	18	0.9996		91699b94d8faa751	cae12694087cb36a	319928	320445	/home/raw996/ae/render_p3/html_outputs/new_pages/epicurves.html
epidemic_models	OK	19	0.9992		94189b23345b9c68	e245f2c0f2b2882b	516403	516982	/home/raw996/ae/render_p3/html_outputs/new_pages/epidemic_models.html
errors	OK	3	0.9962		956e949ab96cef23	7d5a86042bbe687d	65536	66112	/home/raw996/ae/render_p3/html_outputs/new_pages/errors.html
factors	OK	8	0.9991		d62258f8f358d9f4	5c6656da131df865	129440	129981	/home/raw996/ae/render_p3/html_outputs/new_pages/factors.html
flexdashboard	OK	6	0.9989		a8c53471f3818344	0ca9815326503bef	136116	136683	/home/raw996/ae/render_p3/html_outputs/new_pages/flexdashboard.html
