chapter	widget_index	render_widget_id	ref_widget_id	payload_bytes_render	payload_bytes_ref	match	note
age_pyramid	0	htmlwidget-420d272a51ffebbff611	htmlwidget-cdb7c49e64c9ee54cd4e	28700	28700	yes	
age_pyramid	1	htmlwidget-ce01ab929f2bec6c3668	htmlwidget-a97e3d73466b942768ff	916	916	yes	
age_pyramid	2	htmlwidget-f846903841271c39e5e4	htmlwidget-fc8a75af6f85671adf7c	3157	3157	yes	
age_pyramid	3	htmlwidget-829f991e00c9585da0a2	htmlwidget-ef5b235c3603e4ee5f0f	892	892	yes	
age_pyramid	4	htmlwidget-5bffb82ed568abd897bd	htmlwidget-a800e68e57e7965ea29f	1443	1443	yes	
age_pyramid	5	htmlwidget-53cf28e2dda340ec6c80	htmlwidget-565d536520dba7188c28	1413	1413	yes	
age_pyramid	6	htmlwidget-87d6bfede66234c4badd	htmlwidget-6e44d19f9298c4961188	7340	7340	yes	
basics	NA			0	0	NA	no widgets on either side (valid, expected for text/figure-only chapters)
characters_strings	0	htmlwidget-8aa38b213b07ffa2cbf4	htmlwidget-296d64ba5564b41d85e0	28700	28700	yes	
characters_strings	1	htmlwidget-e8c9658f0bf7c7cbc9e9	htmlwidget-43103afa349fb0198b85	611	611	yes	
characters_strings	2	htmlwidget-f99a00b1cd37a1e385b4	htmlwidget-819b3e1f14b5dfbfbe37	860	860	yes	
characters_strings	3	htmlwidget-dc5b06786fcda61a58e5	htmlwidget-e17be96d677ddb24d44a	731	731	yes	
cleaning	0	htmlwidget-e7604b7447529083da88	htmlwidget-a9b665453314463314fa	13589	13589	yes	
cleaning	1	htmlwidget-1621d189f9a98f6bc26b	htmlwidget-0e7e8039fedab9a06ba9	5178	5178	yes	
cleaning	2	htmlwidget-3e4322c39c37290de425	htmlwidget-b0e912037d8dc70a8db5	25305	25305	yes	
collaboration	NA			0	0	NA	no widgets on either side (valid, expected for text/figure-only chapters)
combination_analysis	0	htmlwidget-62f7fbc2e7a415ec0989	htmlwidget-f6f8cc9d0aa3ca4ad317	28700	28700	yes	
combination_analysis	1	htmlwidget-d5922cdcad73927edd38	htmlwidget-05a69489f8ce5a34474a	13450	13450	yes	
contact_tracing	0	htmlwidget-1376f98f2e93f8c4be62	htmlwidget-b2d465fd93d63b86aee0	6307	6307	yes	
contact_tracing	1	htmlwidget-fca30dbc282f12e3f74a	htmlwidget-14e78fa6bc58f9c1aa2d	12013	12013	yes	
contact_tracing	2	htmlwidget-caea694f5bc295c36776	htmlwidget-66c55d25641f96e61c76	3768	3768	yes	
