lang	chapter	similarity	rendered_words	ref_words	rendered_sha16	ref_sha16
en	age_pyramid	0.9901	4488	4491	b00aaa4b0a2a4a17	77afdd97b356bbb3
en	basics	0.9978	12294	12297	04a6c6cf84845f63	021b7a02e252a8f3
en	characters_strings	0.9950	6863	6866	87fa020ce57666b2	79c56a7130a85c2d
en	cleaning	0.9980	15079	15082	03ca5349b8d77ba5	1f7c3a5d79410c40
en	collaboration	0.9902	6913	6917	e9708938d154ec0f	e17ea5df4bdba18c
en	combination_analysis	0.9695	1327	1330	11e8103331af652e	d1adbe7f5315f9d3
en	contact_tracing	0.9946	5109	5112	1d86a9344dfe3197	8fe3cbbcafa91c57
en	data_table	0.9802	2295	2298	a069c98be6703159	7c37490fa06a6a0f
en	data_used	0.9882	2407	2410	7cad7b5b4554bade	7049065d16b31379
en	dates	0.9913	5557	5560	b5e767210fc69122	1f28618ac57f0f11
en	deduplication	0.9938	4272	4275	f27cf2c088b9d8ac	4f11fb7179be2719
en	diagrams	0.9831	2684	2687	864f57c560b80b1c	c4c716c777329d34
en	directories	0.8800	2078	2088	bdea970afb96482a	48cd35e318cdcc7a
en	editorial_style	0.9620	1823	1832	0673e316bd76e10b	7a6090dee89f9276
en	epicurves	0.9956	10518	10521	647720a6f6397bf8	9d5b6e6d3bf287be
en	epidemic_models	0.9941	4861	4864	9f21d003559ee0b8	7f9162775f95f58e
en	errors	0.9638	1062	1065	7d5a86042bbe687d	665aa42978d4234b
en	factors	0.9940	4399	4402	4b2dc6e7a0e88f1e	91dd6c8f19835936
en	flexdashboard	0.9839	3575	3578	a5d686355de46107	190fccc04d5d5c1a
en	ggplot_basics	0.9939	9911	9914	988ab12c62507b52	852ac0f6ab4ab049
en	ggplot_tips	0.9920	7936	7939	1a20c1703d1139af	da2c68a065c680e2
en	gis	NA	NA	NA	NA	1249d69b27a769bb
en	grouping	0.9939	4537	4540	bd79784ba46cf705	8021295487c1878b
en	heatmaps	0.9895	3867	3870	43c3b585cba2cfd1	9258946c46a426eb
en	help	0.9639	1205	1208	5245fee1639be172	3e64fef7d42e31ec
en	importing	0.9956	6465	6468	f439c5c5f024b477	cf497682d86a54dc
en	interactive_plots	0.9753	1722	1725	3d09173cb065be9d	23f6e41bf2474161
en	iteration	0.9963	8031	8034	f90ae0109b230b37	cad3f1c6d0a7d9b7
en	joining_matching	0.9954	6889	6892	028f17a14736d9bb	ee8e6c8208166e2c
en	missing_data	0.9948	5810	5819	ff2546875f7bd2c3	362fecf3dfa9587c
en	moving_average	0.9879	2278	2281	ac152b7974bfd2c4	7a2fc17ecc14a715
en	network_drives	0.9692	1477	1480	a060bc388eed9925	e3136db44ed747ef
en	packages_suggested	0.9730	1129	1132	b7289df7ea030cbb	5c5ccec7f90a57cc
en	phylogenetic_trees	0.9912	4851	4854	6984f3b6379cb0d7	c30c0ac4a907c671
en	pivoting	0.9942	4726	4729	51feb8e98cff806e	c9258a02595be63a
en	r_projects	0.9704	1028	1031	a97e9fbb48d65e5c	3a375cac10408f9a
en	regression	0.9946	5500	5503	adba68fd1535b2c7	15adda203715a477
en	reportfactory	0.9767	2037	2040	ff5980d8c750a35f	7739c0de091172c7
en	rmarkdown	0.9919	6709	6712	2927c32d2866d259	9fd6787251946756
en	shiny_basics	0.9950	10645	10648	8129ff23c8227af7	d8518ae08d48d7c4
en	standardization	0.9917	3328	3331	c8690b0b5683c59c	0388832a895c76a4
en	stat_tests	0.9907	3074	3077	699166168a96a96a	5529432fa4817d39
en	survey_analysis	0.9958	6594	6597	eb6d8ee20ec2380c	092e58fa74479416
en	survival_analysis	0.9887	6439	6528	b3ca7439636cfc78	4e4493464cb17879
en	tables_descriptive	0.9971	9638	9641	e19d7e8c091fe976	b678eefa43d09bdb
en	tables_presentation	0.9902	4843	4846	9399d3962bd6957a	74c5c78cf6114c75
en	time_series	0.9966	9919	9928	643b69531fc4810c	0cf7364f7817bc8d
en	transition_to_R	0.9900	2850	2853	325ce2368078595e	7203122113928574
en	transmission_chains	0.9804	4748	4754	1127c9ae5e0b8006	7c836e0b7f9be8a4
en	writing_functions	0.9873	4279	4290	b67e8f9bcb73ca6c	27f4d5f8d8f0e9dc
fr	age_pyramid	0.9908	5088	5092	4e154c2e2dff9eca	fd997587e96ef081
fr	basics	0.9978	13703	13707	d40c047c7941188d	41e907e50a4a94e8
fr	characters_strings	0.9953	7793	7797	badcb71877417d7e	1425f7248eb0cb01
fr	cleaning	0.9981	16837	16841	bc4c3dbf96aa8ca7	36cbd9b113d10856
fr	collaboration	0.9908	7578	7583	13a0a6bc83ca6e00	52acb5da4a83be74
fr	combination_analysis	0.9711	1452	1456	9e9e47f8cd1eae4f	b4de75757a142c62
fr	contact_tracing	0.9949	5652	5656	fa62bab11bb2a59a	beb7d0974a20f018
fr	data_table	0.9809	2557	2561	2624f2834d1a3582	3cb1ba6902683a26
fr	data_used	0.9879	2636	2640	7a1eaabf65af4313	5ed19982ed7aa04b
fr	dates	0.9924	6409	6413	489327db23a20488	545e8f1657299f08
fr	deduplication	0.9943	4704	4708	6c35780effd280b7	aef42de64645d7eb
fr	diagrams	0.9849	3044	3048	4b73cb99491fc0a6	0de069e4e34af630
fr	directories	0.9348	2226	2237	77325aeb4af27be6	af2b3a0c789489a2
fr	editorial_style	0.9681	2161	2171	9d963dc6d164a38b	ad3452279c865b68
fr	epicurves	0.9960	11911	11915	277a46e18f3e8bd7	8dfcdd2e62f73a4d
fr	epidemic_models	0.9945	5271	5275	8d985c304bd0534e	2d3b46fecf0fd460
fr	errors	0.9678	1208	1212	f154b820879efd4b	3e6c3e244cdc5adc
fr	factors	0.9944	4859	4863	933ff6212155d214	db7b0ddb1186384c
fr	flexdashboard	0.9861	4107	4111	626bbaf81e6bd66b	24c1a74cfecfa8da
fr	ggplot_basics	0.9946	11611	11615	aad80310b73289fc	af614f1bc6ef42c4
fr	ggplot_tips	0.9925	8964	8968	3bf6b790f45f2286	9bcf8068ea5fad7c
fr	grouping	0.9940	5193	5197	44473795a062f29b	8957a850e32d81f6
fr	heatmaps	0.9907	4411	4415	e7e307d2fddaf7a3	c26934405761f743
fr	help	0.9692	1362	1366	8d13ecdb3e00e157	8a96fdf0932a86ed
fr	importing	0.9957	7166	7170	b06380afa0064386	968b1146a20c16d4
fr	interactive_plots	0.9773	1894	1898	3650eec86366bd8f	38a26534f489ebbf
fr	iteration	0.9965	8682	8686	72a5d3d92db44822	7de7ad108d7aba90
fr	joining_matching	0.9956	7441	7445	b4ecc159795d3df0	80e4934f85027b7c
fr	missing_data	0.9952	6415	6425	26d915912378cde3	bcf6c2988229d700
fr	moving_average	0.9891	2571	2575	970770d0426d5b6b	c4d9c038f563bdfd
fr	network_drives	0.9746	1727	1731	a7c91c93c04f18c4	62e5737fe424410a
fr	packages_suggested	0.9785	1346	1350	708963d0d511ab4c	0d41781be6d3485a
fr	phylogenetic_trees	0.9916	5226	5230	d784b64d3cc6bcfa	f7764cbbb6dc9437
fr	pivoting	0.9943	5082	5086	447e273668f774a7	2cf2ef69859a0cfa
fr	r_projects	0.9761	1172	1176	0075936d567e7d7b	d09def2e45ceaae2
fr	regression	0.9949	5921	5925	0a17798916a3d8c4	d7f2e940fa552b35
fr	reportfactory	0.9779	2263	2267	bf2a5e9735b9f9e0	4d08905b38d5d6f6
fr	rmarkdown	0.9925	7552	7556	fdc88ea56d09ef43	d1fe06e52245d4af
fr	shiny_basics	0.9950	11234	11238	f2e0622c296f15eb	f75a9daffbc52022
fr	standardization	0.9927	3839	3843	9703f82a4f6eb111	391409436ad6c255
fr	stat_tests	0.9914	3370	3374	0cd838932dcb1294	383a71169b6661bf
