chapter	status	seconds	similarity_vs_book	note	rendered_sha16	ref_sha16	rendered_bytes	ref_bytes	rendered_path
age_pyramid	OK	0	0.9991		bdbbdcf2b48921e0	1201468f4c88241a	200529	201114	/home/raw996/ae/render_5a_full/html_outputs/new_pages/age_pyramid.html
basics	OK	0	0.9997		eb2d021984c583c4	50b01431a04181ba	233960	234326	/home/raw996/ae/render_5a_full/html_outputs/new_pages/basics.html
characters_strings	OK	0	0.9991		82f12c9638458f31	0e72861592ec982c	212459	213055	/home/raw996/ae/render_5a_full/html_outputs/new_pages/characters_strings.html
cleaning	OK	0	0.9997		0f52b49ef51f7d39	06dc31cac28a95cb	366490	366899	/home/raw996/ae/render_5a_full/html_outputs/new_pages/cleaning.html
collaboration	OK	0	0.9994		1e7626b80b03c615	286943277f7804e0	137775	138283	/home/raw996/ae/render_5a_full/html_outputs/new_pages/collaboration.html
combination_analysis	OK	0	0.9970		3f16b9c0a7900c4f	5d622cc4569da054	125364	126049	/home/raw996/ae/render_5a_full/html_outputs/new_pages/combination_analysis.html
contact_tracing	OK	0	0.9992		d33dafce713a14a4	67df39674f1c0de9	215428	216029	/home/raw996/ae/render_5a_full/html_outputs/new_pages/contact_tracing.html
data_table	OK	0	0.9983		2e6e562f8ca832e6	a069c98be6703159	88208	88830	/home/raw996/ae/render_5a_full/html_outputs/new_pages/data_table.html
data_used	OK	0	0.9983		5fcbc5088c495ec3	a3c00e86876a4ee3	91557	92136	/home/raw996/ae/render_5a_full/html_outputs/new_pages/data_used.html
dates	OK	0	0.9977		a21263b33b91f5d8	aa99c22553b6408b	147729	148212	/home/raw996/ae/render_5a_full/html_outputs/new_pages/dates.html
deduplication	OK	0	0.9991		1821da1b44385db1	3ae18289407658b7	151044	151625	/home/raw996/ae/render_5a_full/html_outputs/new_pages/deduplication.html
diagrams	OK	0	0.9985		be326371b075ebad	d6a9dc11100fb8f0	163246	163848	/home/raw996/ae/render_5a_full/html_outputs/new_pages/diagrams.html
directories	OK	0	0.9952		8a8e9c394a9f56b0	d33fc72a08821e01	97439	98255	/home/raw996/ae/render_5a_full/html_outputs/new_pages/directories.html
editorial_style	OK	0	0.9978		ec24456e1c1d394f	eba589d4a3b43bab	75482	76150	/home/raw996/ae/render_5a_full/html_outputs/new_pages/editorial_style.html
epicurves	OK	0	0.9996		6b991cd7615c9608	cae12694087cb36a	319928	320445	/home/raw996/ae/render_5a_full/html_outputs/new_pages/epicurves.html
epidemic_models	OK	0	0.9992		7ae2f018543a74db	e245f2c0f2b2882b	516400	516982	/home/raw996/ae/render_5a_full/html_outputs/new_pages/epidemic_models.html
errors	OK	0	0.9962		956e949ab96cef23	7d5a86042bbe687d	65536	66112	/home/raw996/ae/render_5a_full/html_outputs/new_pages/errors.html
factors	OK	0	0.9991		c4147927ff6aed94	5c6656da131df865	129440	129981	/home/raw996/ae/render_5a_full/html_outputs/new_pages/factors.html
flexdashboard	OK	0	0.9989		e573069a5b15cee8	0ca9815326503bef	136116	136683	/home/raw996/ae/render_5a_full/html_outputs/new_pages/flexdashboard.html
ggplot_basics	OK	0	0.9996		f5c407081f54127c	eefc0c868bd77130	272481	272981	/home/raw996/ae/render_5a_full/html_outputs/new_pages/ggplot_basics.html
ggplot_tips	OK	0	0.9995		3cfb8f0d73370e0b	fa7a57cf96206b1d	260026	260530	/home/raw996/ae/render_5a_full/html_outputs/new_pages/ggplot_tips.html
grouping	OK	0	0.9991		7d5154ce61a807c0	1a37b7d81750d572	173624	174179	/home/raw996/ae/render_5a_full/html_outputs/new_pages/grouping.html
heatmaps	OK	0	0.9990		c787e97a434b48f8	084c397e979c04e5	169033	169612	/home/raw996/ae/render_5a_full/html_outputs/new_pages/heatmaps.html
help	OK	0	0.9967		fd5489a81ed6721d	d9b6f3e728c15efe	71910	72482	/home/raw996/ae/render_5a_full/html_outputs/new_pages/help.html
