chapter	lang	change_class	lines_added	lines_removed
standardization	de	cut_dsr_section	0	124
standardization	es	cut_dsr_section	0	133
standardization	fr	cut_dsr_section	0	133
standardization	jp	cut_dsr_section	0	128
standardization	pt	cut_dsr_section	0	133
standardization	en	cut_dsr_section	0	133
standardization	ru	cut_dsr_section	0	133
standardization	tr	cut_dsr_section	0	128
standardization	vn	cut_dsr_section	0	133
survey_analysis	de	cut_sitrep_section	0	20
survey_analysis	es	cut_sitrep_section	0	20
survey_analysis	fr	cut_sitrep_section	0	20
survey_analysis	jp	cut_sitrep_section	0	20
survey_analysis	pt	cut_sitrep_section	0	19
survey_analysis	en	cut_sitrep_section	0	22
survey_analysis	ru	cut_sitrep_section	0	22
survey_analysis	tr	cut_sitrep_section	0	19
survey_analysis	vn	cut_sitrep_section	0	18
writing_functions	de	set_formatter_type	2	2
writing_functions	es	set_formatter_type	2	2
writing_functions	fr	set_formatter_type	2	2
writing_functions	jp	set_formatter_type	2	2
writing_functions	pt	set_formatter_type	2	2
writing_functions	en	set_formatter_type	2	2
writing_functions	ru	set_formatter_type	2	2
writing_functions	tr	set_formatter_type	2	2
writing_functions	vn	set_formatter_type	2	2
tables_descriptive	de	quantile_reframe	2	2
tables_descriptive	es	quantile_reframe	2	2
tables_descriptive	fr	quantile_reframe	2	2
tables_descriptive	jp	quantile_reframe	2	2
tables_descriptive	pt	quantile_reframe	2	2
tables_descriptive	en	quantile_reframe	2	2
tables_descriptive	ru	quantile_reframe	2	2
tables_descriptive	tr	quantile_reframe	2	2
tables_descriptive	vn	quantile_reframe	2	2
cleaning	de	fct_explicit_na	3	3
cleaning	es	fct_explicit_na	3	3
cleaning	fr	fct_explicit_na	3	3
cleaning	jp	fct_explicit_na	3	3
cleaning	pt	fct_explicit_na	3	3
cleaning	en	fct_explicit_na	3	3
cleaning	ru	fct_explicit_na	3	3
cleaning	tr	fct_explicit_na	3	3
cleaning	vn	fct_explicit_na	3	3
contact_tracing	de	fct_explicit_na	1	1
contact_tracing	es	fct_explicit_na	1	1
contact_tracing	fr	fct_explicit_na	1	1
contact_tracing	jp	fct_explicit_na	1	1
contact_tracing	pt	fct_explicit_na	1	1
contact_tracing	en	fct_explicit_na	1	1
contact_tracing	ru	fct_explicit_na	1	1
contact_tracing	tr	fct_explicit_na	1	1
contact_tracing	vn	fct_explicit_na	1	1
factors	de	fct_explicit_na	1	1
factors	es	fct_explicit_na	1	1
factors	fr	fct_explicit_na	1	1
factors	jp	fct_explicit_na	1	1
factors	pt	fct_explicit_na	1	1
factors	en	fct_explicit_na	1	1
factors	ru	fct_explicit_na	1	1
factors	tr	fct_explicit_na	1	1
factors	vn	fct_explicit_na	1	1
missing_data	de	fct_explicit_na	1	1
missing_data	es	fct_explicit_na	1	1
missing_data	fr	fct_explicit_na	1	1
missing_data	jp	fct_explicit_na	1	1
missing_data	pt	fct_explicit_na	1	1
missing_data	en	fct_explicit_na	1	1
missing_data	ru	fct_explicit_na	1	1
missing_data	tr	fct_explicit_na	1	1
missing_data	vn	fct_explicit_na	1	1
tables_descriptive	de	fct_explicit_na	1	1
tables_descriptive	es	fct_explicit_na	1	1
tables_descriptive	fr	fct_explicit_na	1	1
