package	n_chapters	of_48	in_common
base	48	48	yes
cli	48	48	yes
compiler	48	48	yes
datasets	48	48	yes
digest	48	48	yes
evaluate	48	48	yes
fastmap	48	48	yes
grDevices	48	48	yes
graphics	48	48	yes
htmltools	48	48	yes
htmlwidgets	48	48	yes
jsonlite	48	48	yes
knitr	48	48	yes
methods	48	48	yes
otel	48	48	yes
rlang	48	48	yes
rmarkdown	48	48	yes
stats	48	48	yes
tools	48	48	yes
utils	48	48	yes
xfun	48	48	yes
here	46	48	yes
rprojroot	46	48	yes
R6	38	48	yes
lifecycle	38	48	yes
magrittr	38	48	yes
RColorBrewer	37	48	yes
S7	37	48	yes
dichromat	37	48	yes
dplyr	37	48	yes
farver	37	48	yes
forcats	37	48	yes
generics	37	48	yes
ggplot2	37	48	yes
glue	37	48	yes
grid	37	48	yes
gtable	37	48	yes
hms	37	48	yes
lubridate	37	48	yes
pacman	37	48	yes
pillar	37	48	yes
pkgconfig	37	48	yes
purrr	37	48	yes
readr	37	48	yes
rio	37	48	yes
scales	37	48	yes
stringi	37	48	yes
stringr	37	48	yes
tibble	37	48	yes
tidyr	37	48	yes
tidyselect	37	48	yes
tidyverse	37	48	yes
timechange	37	48	yes
tzdb	37	48	yes
vctrs	37	48	yes
withr	37	48	yes
R.methodsS3	36	48	yes
R.oo	36	48	yes
R.utils	36	48	yes
DT	35	48	yes
bslib	34	48	yes
cachem	34	48	yes
crosstalk	34	48	yes
jquerylib	34	48	yes
sass	34	48	yes
yaml	34	48	yes
labeling	22	48	no
Rcpp	17	48	no
data.table	17	48	no
utf8	15	48	no
janitor	14	48	no
snakecase	14	48	no
lattice	11	48	no
png	10	48	no
xml2	10	48	no
backports	9	48	no
broom	9	48	no
MASS	8	48	no
patchwork	8	48	no
systemfonts	8	48	no
Matrix	7	48	no
fs	7	48	no
splines	7	48	no
textshaping	7	48	no
viridisLite	7	48	no
base64enc	6	48	no
cellranger	6	48	no
fontBitstreamVera	6	48	no
fontLiberation	6	48	no
fontquiver	6	48	no
gdtools	6	48	no
nlme	6	48	no
readxl	6	48	no
zoo	6	48	no
DBI	5	48	no
abind	5	48	no
askpass	5	48	no
class	5	48	no
commonmark	5	48	no
e1071	5	48	no
