chapter	rc
index	0
age_pyramid	0
basics	0
characters_strings	0
cleaning	0
collaboration	0
combination_analysis	0
contact_tracing	0
data_table	0
data_used	0
dates	0
deduplication	0
diagrams	0
directories	0
editorial_style	0
epicurves	0
errors	0
factors	0
flexdashboard	0
ggplot_basics	0
ggplot_tips	0
grouping	0
heatmaps	0
help	0
importing	0
interactive_plots	0
iteration	0
joining_matching	0
missing_data	0
moving_average	0
network_drives	0
packages_suggested	0
phylogenetic_trees	0
pivoting	0
regression	0
reportfactory	0
rmarkdown	0
r_projects	0
shiny_basics	0
standardization	0
stat_tests	0
survey_analysis	0
survival_analysis	0
tables_descriptive	0
tables_presentation	0
time_series	0
transition_to_R	0
transmission_chains	0
writing_functions	0
