chapter	path	kind	status	render_bytes	ref_bytes	render_sha16	ref_sha16	dimensions_match	pixel_diff_pct	pixels_differing	pixels_total	allowlisted	classification
age_pyramid	figure-html/unnamed-chunk-10-1.png	image	match	144024	144024	8959ec35e88049f6	8959ec35e88049f6	NA	NA	NA	NA	no	
age_pyramid	figure-html/unnamed-chunk-11-1.png	image	match	87268	87268	2af2e33492569a29	2af2e33492569a29	NA	NA	NA	NA	no	
age_pyramid	figure-html/unnamed-chunk-12-1.png	image	match	75727	75727	42725a45e3b70a61	42725a45e3b70a61	NA	NA	NA	NA	no	
age_pyramid	figure-html/unnamed-chunk-17-1.png	image	match	69431	69431	acf05bba07bb8a80	acf05bba07bb8a80	NA	NA	NA	NA	no	
age_pyramid	figure-html/unnamed-chunk-19-1.png	image	match	31809	31809	4ac28786539da1b7	4ac28786539da1b7	NA	NA	NA	NA	no	
age_pyramid	figure-html/unnamed-chunk-22-1.png	image	mismatch	67609	67751	fad4134f8ca90142	020f6f908176d95b	yes	0.0130	168	1290240	yes	allowlisted (source-inspection-only) -- README.md 'Generated assets (figures) vs. book': Sys.Date() interpolated into a plot caption string -- same render-date root cause independently confirmed for dates/index/directories (page-text checks); not re-verified here by a dedicated re-render test of this specific image
age_pyramid	figure-html/unnamed-chunk-33-1.png	image	match	90575	90575	fdf95652bc880998	fdf95652bc880998	NA	NA	NA	NA	no	
age_pyramid	figure-html/unnamed-chunk-39-1.png	image	match	86659	86659	63c1dbb0c50c3182	63c1dbb0c50c3182	NA	NA	NA	NA	no	
age_pyramid	figure-html/unnamed-chunk-7-1.png	image	match	16625	16625	023714632519e660	023714632519e660	NA	NA	NA	NA	no	
age_pyramid	figure-html/unnamed-chunk-8-1.png	image	match	69170	69170	b34b28704b1a15dc	b34b28704b1a15dc	NA	NA	NA	NA	no	
age_pyramid	figure-html/unnamed-chunk-9-1.png	image	match	67330	67330	8af4378349cc6688	8af4378349cc6688	NA	NA	NA	NA	no	
basics	figure-html/unnamed-chunk-6-1.png	image	match	69170	69170	b34b28704b1a15dc	b34b28704b1a15dc	NA	NA	NA	NA	no	
basics	figure-html/unnamed-chunk-7-1.png	image	match	69170	69170	b34b28704b1a15dc	b34b28704b1a15dc	NA	NA	NA	NA	no	
basics	figure-html/unnamed-chunk-8-1.png	image	match	67367	67367	b216546e0464ef78	b216546e0464ef78	NA	NA	NA	NA	no	
cleaning	figure-html/unnamed-chunk-69-1.png	image	match	17705	17705	06b26f780e58cf50	06b26f780e58cf50	NA	NA	NA	NA	no	
cleaning	figure-html/unnamed-chunk-87-1.png	image	match	22168	22168	4b15043eee66ef61	4b15043eee66ef61	NA	NA	NA	NA	no	
combination_analysis	figure-html/unnamed-chunk-1-1.png	image	mismatch	47344	48060	aefa0d670b669f30	fc276bfb0c5d6acf	yes	2.7228	35131	1290240	yes	allowlisted (source-inspection-only) -- README.md 'Generated assets (figures) vs. book': sample(c("yes","no"), ..., prob=...) generates the chapter's demo symptom columns fresh every render; no set.seed() anywhere in the chapter source
combination_analysis	figure-html/unnamed-chunk-10-1.png	image	match	35639	35639	430d499063285d73	430d499063285d73	NA	NA	NA	NA	no	
combination_analysis	figure-html/unnamed-chunk-14-1.png	image	match	24014	24014	59543951731febe4	59543951731febe4	NA	NA	NA	NA	no	
contact_tracing	figure-html/unnamed-chunk-10-1.png	image	match	65838	65838	22b1c92d8d9a2b98	22b1c92d8d9a2b98	NA	NA	NA	NA	no	
contact_tracing	figure-html/unnamed-chunk-12-1.png	image	match	69008	69008	8241ad498d227e2b	8241ad498d227e2b	NA	NA	NA	NA	no	
contact_tracing	figure-html/unnamed-chunk-13-1.png	image	match	65053	65053	1c07ed06f09bce5b	1c07ed06f09bce5b	NA	NA	NA	NA	no	
contact_tracing	figure-html/unnamed-chunk-15-1.png	image	match	18546	18546	83768328eeed5f06	83768328eeed5f06	NA	NA	NA	NA	no	
contact_tracing	figure-html/unnamed-chunk-20-1.png	image	match	47959	47959	34144c5e22303d60	34144c5e22303d60	NA	NA	NA	NA	no	
contact_tracing	figure-html/unnamed-chunk-21-1.png	image	match	190666	190666	ac59e97361633870	ac59e97361633870	NA	NA	NA	NA	no	
contact_tracing	figure-html/unnamed-chunk-22-1.png	image	match	56079	56079	c62c8c8d6c333813	c62c8c8d6c333813	NA	NA	NA	NA	no	
contact_tracing	figure-html/unnamed-chunk-35-1.png	image	match	73518	73518	86d7a5e28ef5d7eb	86d7a5e28ef5d7eb	NA	NA	NA	NA	no	
epicurves	figure-html/ggplot_simple-1.png	image	match	25207	25207	59ba7c05e3580d0a	59ba7c05e3580d0a	NA	NA	NA	NA	no	
epicurves	figure-html/ggplot_simple-2.png	image	match	21908	21908	460b69232a089874	460b69232a089874	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-14-1.png	image	match	18450	18450	b3d63306270a60d1	b3d63306270a60d1	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-18-1.png	image	match	79566	79566	c707726d904b98e2	c707726d904b98e2	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-21-1.png	image	match	61908	61908	c94eaa5e4b885c44	c94eaa5e4b885c44	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-22-1.png	image	match	56753	56753	c88ef97a9b3203ce	c88ef97a9b3203ce	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-24-1.png	image	match	84061	84061	c73a9b620b6d9234	c73a9b620b6d9234	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-25-1.png	image	match	60769	60769	5ebba6c9fe003c7f	5ebba6c9fe003c7f	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-28-1.png	image	match	58635	58635	07d830af6dc46b87	07d830af6dc46b87	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-28-2.png	image	match	64043	64043	57d0ce3de3d6b0be	57d0ce3de3d6b0be	NA	NA	NA	NA	no	
