chapter	n_packages	packages
age_pyramid	72	DT,R.methodsS3,R.oo,R.utils,R6,RColorBrewer,apyramid,base,bslib,cachem,cli,colorspace,compiler,crosstalk,data.table,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,janitor,jquerylib,jsonlite,knitr,labeling,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,snakecase,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun,yaml
basics	63	R.methodsS3,R.oo,R.utils,R6,RColorBrewer,apyramid,base,cli,colorspace,compiler,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,janitor,jsonlite,knitr,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rprojroot,scales,snakecase,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun
characters_strings	66	DT,R.methodsS3,R.oo,R.utils,R6,base,bslib,cachem,cli,colorspace,compiler,crayon,crosstalk,datasets,digest,dplyr,evaluate,fansi,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,jquerylib,jsonlite,knitr,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun,yaml
cleaning	85	DBI,DT,KernSmooth,R.methodsS3,R.oo,R.utils,R6,Rcpp,base,base64enc,bslib,cachem,cellranger,class,classInt,cli,colorspace,compiler,crosstalk,data.table,datasets,digest,dplyr,e1071,epikit,evaluate,fansi,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,janitor,jquerylib,jsonlite,knitr,lifecycle,lubridate,magrittr,matchmaker,methods,munsell,pacman,pillar,pkgconfig,png,proxy,purrr,readr,readxl,repr,rio,rlang,rmarkdown,rprojroot,sass,scales,sf,skimr,snakecase,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,units,utf8,utils,vctrs,withr,xfun,yaml
collaboration	23	base,cli,compiler,datasets,digest,evaluate,fastmap,grDevices,graphics,here,htmltools,htmlwidgets,jsonlite,knitr,methods,png,rlang,rmarkdown,rprojroot,stats,tools,utils,xfun
combination_analysis	72	DT,R.methodsS3,R.oo,R.utils,R6,Rcpp,UpSetR,base,bslib,cachem,cli,colorspace,compiler,crosstalk,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,generics,ggplot2,ggupset,glue,grDevices,graphics,grid,gridExtra,gtable,here,hms,htmltools,htmlwidgets,jquerylib,jsonlite,knitr,labeling,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,plyr,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun,yaml
contact_tracing	88	DBI,DT,KernSmooth,R.methodsS3,R.oo,R.utils,R6,RColorBrewer,Rcpp,apyramid,base,bslib,cachem,class,classInt,cli,colorspace,compiler,crosstalk,datasets,digest,dplyr,e1071,epikit,evaluate,fansi,farver,fastmap,forcats,formattable,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,janitor,jquerylib,jsonlite,kableExtra,knitr,labeling,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,proxy,purrr,readr,rio,rlang,rmarkdown,rprojroot,rstudioapi,sass,scales,sf,snakecase,stats,stringi,stringr,svglite,systemfonts,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,units,utf8,utils,vctrs,viridisLite,withr,xfun,xml2,yaml
data_table	61	R.methodsS3,R.oo,R.utils,R6,base,cellranger,cli,colorspace,compiler,data.table,datasets,digest,dplyr,evaluate,fansi,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,jsonlite,knitr,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,purrr,readr,readxl,rio,rlang,rmarkdown,rprojroot,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun
data_used	23	base,cli,compiler,datasets,digest,evaluate,fastmap,grDevices,graphics,here,htmltools,htmlwidgets,jsonlite,knitr,methods,png,rlang,rmarkdown,rprojroot,stats,tools,utils,xfun
dates	72	DT,R.methodsS3,R.oo,R.utils,R6,aweek,base,bslib,cachem,cellranger,cli,colorspace,compiler,crayon,crosstalk,datasets,digest,dplyr,evaluate,fansi,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,jquerylib,jsonlite,knitr,lattice,lifecycle,lubridate,magrittr,methods,munsell,pacman,parsedate,pillar,pkgconfig,purrr,readr,readxl,rio,rlang,rmarkdown,rprojroot,sass,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun,yaml,zoo
deduplication	63	DT,R6,base,bslib,cachem,cli,colorspace,compiler,crosstalk,datasets,digest,dplyr,evaluate,fansi,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,janitor,jquerylib,jsonlite,knitr,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,purrr,readr,rlang,rmarkdown,rprojroot,sass,scales,snakecase,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun,yaml
descriptive_statistics	108	DT,R.methodsS3,R.oo,R.utils,R6,Rcpp,askpass,backports,base,base64enc,broom,broom.helpers,bslib,cachem,cli,colorspace,commonmark,compiler,corrr,crayon,crosstalk,crul,curl,data.table,datasets,digest,dplyr,ellipsis,evaluate,fansi,farver,fastmap,flextable,fontBitstreamVera,fontLiberation,fontquiver,forcats,gdtools,generics,gfonts,ggplot2,glue,grDevices,graphics,grid,gt,gtable,gtsummary,here,hms,htmltools,htmlwidgets,httpcode,httpuv,janitor,jquerylib,jsonlite,knitr,labeling,later,lifecycle,lubridate,magrittr,markdown,methods,mime,munsell,officer,openssl,pacman,pillar,pkgconfig,promises,purrr,ragg,readr,repr,rio,rlang,rmarkdown,rprojroot,sass,scales,shiny,skimr,snakecase,stats,stringi,stringr,systemfonts,textshaping,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,uuid,vctrs,withr,xfun,xml2,xtable,yaml,zip
diagrams	80	DT,DiagrammeR,R.methodsS3,R.oo,R.utils,R6,RColorBrewer,Rcpp,assertthat,base,bslib,cachem,cli,colorspace,compiler,crosstalk,data.table,datasets,digest,dplyr,evaluate,fansi,fastmap,forcats,generics,ggplot2,ggrepel,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,httr,igraph,jquerylib,jsonlite,knitr,lazyeval,lifecycle,lubridate,magrittr,methods,munsell,networkD3,pacman,pillar,pkgconfig,plotly,purrr,readr,rio,rlang,rmarkdown,rprojroot,rstudioapi,sass,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,viridisLite,visNetwork,vistime,withr,xfun,yaml
directories	65	DT,R6,base,bslib,cachem,cli,colorspace,compiler,crayon,crosstalk,datasets,digest,dplyr,evaluate,fansi,fastmap,forcats,fs,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,jquerylib,jsonlite,knitr,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,png,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun,yaml
editorial_style	21	base,cli,compiler,datasets,digest,evaluate,fastmap,grDevices,graphics,htmltools,htmlwidgets,jsonlite,knitr,methods,rlang,rmarkdown,sessioninfo,stats,tools,utils,xfun
epicurves	77	DT,R.methodsS3,R.oo,R.utils,R6,RColorBrewer,aweek,base,bslib,cachem,cli,colorspace,compiler,cowplot,crosstalk,data.table,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,generics,gghighlight,ggplot2,glue,grDevices,graphics,grates,grid,gtable,here,hms,htmltools,htmlwidgets,i2extras,incidence2,jquerylib,jsonlite,knitr,labeling,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,slider,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,warp,withr,xfun,yaml
epidemic_models	123	DT,EpiEstim,EpiNow2,MASS,MCMCpack,Matrix,MatrixModels,QuickJSR,R.methodsS3,R.oo,R.utils,R6,RColorBrewer,Rcpp,RcppParallel,SparseM,StanHeaders,V8,base,bslib,cachem,cli,coarseDataTools,coda,codetools,colorspace,compiler,crosstalk,curl,data.table,datasets,digest,distcrete,dplyr,epicontacts,epitrix,evaluate,fansi,farver,fastmap,fitdistrplus,forcats,formatR,futile.logger,futile.options,future,future.apply,generics,ggplot2,globals,glue,grDevices,graphics,grates,grid,gridExtra,gtable,here,hms,htmltools,htmlwidgets,igraph,incidence,incidence2,inline,jquerylib,jsonlite,knitr,labeling,lambda.r,lattice,lifecycle,listenv,loo,lubridate,magrittr,matrixStats,mcmc,methods,munsell,pacman,parallel,parallelly,patchwork,pillar,pkgbuild,pkgconfig,plyr,progressr,projections,purrr,quantreg,readr,reshape2,rio,rlang,rmarkdown,rprojroot,rstan,rstantools,runner,sass,scales,splines,stats,stats4,stringi,stringr,survival,tibble,tidyr,tidyselect,tidyverse,timechange,tools,truncnorm,tzdb,utf8,utils,vctrs,withr,xfun,yaml
factors	63	R.methodsS3,R.oo,R.utils,R6,aweek,base,cli,colorspace,compiler,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,janitor,jsonlite,knitr,labeling,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rprojroot,scales,snakecase,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun
flexdashboard	79	DT,R.methodsS3,R.oo,R.utils,R6,Rcpp,base,bslib,cachem,cli,colorspace,compiler,crosstalk,data.table,datasets,digest,dplyr,ellipsis,evaluate,fansi,fastmap,flexdashboard,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,httpuv,httr,jquerylib,jsonlite,knitr,later,lazyeval,lifecycle,lubridate,magrittr,methods,mime,munsell,pacman,pillar,pkgconfig,plotly,promises,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,shiny,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,viridisLite,withr,xfun,xtable,yaml
ggplot_basics	79	DT,MASS,Matrix,R.methodsS3,R.oo,R.utils,R6,Rcpp,base,bslib,cachem,cli,colorspace,compiler,crosstalk,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,generics,ggforce,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,janitor,jquerylib,jsonlite,knitr,labeling,lattice,lifecycle,lubridate,magrittr,methods,mgcv,munsell,nlme,pacman,pillar,pkgconfig,polyclip,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,snakecase,splines,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tweenr,tzdb,utf8,utils,vctrs,withr,xfun,yaml
ggplot_tips	85	DT,MASS,R.methodsS3,R.oo,R.utils,R6,RColorBrewer,Rcpp,base,bslib,cachem,cli,colorspace,compiler,cowplot,crosstalk,datasets,digest,dplyr,ellipsis,evaluate,fansi,farver,fastmap,forcats,generics,ggExtra,gghighlight,ggplot2,ggrepel,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,httpuv,isoband,jquerylib,jsonlite,knitr,labeling,later,lifecycle,lubridate,magrittr,methods,mime,miniUI,munsell,pacman,patchwork,pillar,pkgconfig,promises,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,shiny,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,viridisLite,withr,xfun,xtable,yaml
grouping	67	DT,R.methodsS3,R.oo,R.utils,R6,base,bslib,cachem,cli,colorspace,compiler,crosstalk,datasets,digest,dplyr,evaluate,fansi,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,janitor,jquerylib,jsonlite,knitr,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,snakecase,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun,yaml
heatmaps	67	DT,R.methodsS3,R.oo,R.utils,R6,base,bslib,cachem,cli,colorspace,compiler,crosstalk,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,jquerylib,jsonlite,knitr,labeling,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun,yaml
help	23	base,cli,compiler,datasets,digest,evaluate,fastmap,grDevices,graphics,here,htmltools,htmlwidgets,jsonlite,knitr,methods,png,rlang,rmarkdown,rprojroot,stats,tools,utils,xfun
importing	66	DT,R.methodsS3,R.oo,R.utils,R6,base,bslib,cachem,cli,colorspace,compiler,crosstalk,datasets,digest,dplyr,evaluate,fansi,fastmap,forcats,fs,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,jquerylib,jsonlite,knitr,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,xfun,yaml
index	22	base,cli,compiler,datasets,digest,evaluate,fastmap,grDevices,graphics,here,htmltools,htmlwidgets,jsonlite,knitr,methods,rlang,rmarkdown,rprojroot,stats,tools,utils,xfun
interactive_plots	74	DT,R.methodsS3,R.oo,R.utils,R6,aweek,base,bslib,cachem,cli,colorspace,compiler,crosstalk,curl,data.table,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,httr,jquerylib,jsonlite,knitr,labeling,lazyeval,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,plotly,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,viridisLite,withr,xfun,yaml
iteration	83	DT,R.methodsS3,R.oo,R.utils,R6,abind,backports,base,broom,bslib,cachem,car,carData,cellranger,cli,colorspace,compiler,cowplot,crosstalk,data.table,datasets,digest,dplyr,evaluate,fansi,farver,fastmap,forcats,generics,ggplot2,ggpubr,ggsignif,glue,grDevices,graphics,grates,grid,gtable,here,hms,htmltools,htmlwidgets,incidence2,jquerylib,jsonlite,knitr,labeling,lifecycle,lubridate,magrittr,methods,munsell,pacman,pillar,pkgconfig,png,purrr,readr,readxl,rio,rlang,rmarkdown,rprojroot,rstatix,sass,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utf8,utils,vctrs,withr,writexl,xfun,yaml
