package	n_chapters	of_52	in_common
base	52	52	yes
cli	52	52	yes
compiler	52	52	yes
datasets	52	52	yes
digest	52	52	yes
evaluate	52	52	yes
fastmap	52	52	yes
grDevices	52	52	yes
graphics	52	52	yes
htmltools	52	52	yes
htmlwidgets	52	52	yes
jsonlite	52	52	yes
knitr	52	52	yes
methods	52	52	yes
rlang	52	52	yes
rmarkdown	52	52	yes
stats	52	52	yes
tools	52	52	yes
utils	52	52	yes
xfun	52	52	yes
here	50	52	yes
rprojroot	50	52	yes
R6	42	52	yes
lifecycle	42	52	yes
magrittr	42	52	yes
colorspace	41	52	yes
dplyr	41	52	yes
fansi	41	52	yes
forcats	41	52	yes
generics	41	52	yes
ggplot2	41	52	yes
glue	41	52	yes
grid	41	52	yes
gtable	41	52	yes
hms	41	52	yes
lubridate	41	52	yes
munsell	41	52	yes
pacman	41	52	yes
pillar	41	52	yes
pkgconfig	41	52	yes
purrr	41	52	yes
readr	41	52	yes
rio	41	52	yes
scales	41	52	yes
stringi	41	52	yes
stringr	41	52	yes
tibble	41	52	yes
tidyr	41	52	yes
tidyselect	41	52	yes
tidyverse	41	52	yes
timechange	41	52	yes
tzdb	41	52	yes
utf8	41	52	yes
vctrs	41	52	yes
withr	41	52	yes
R.methodsS3	40	52	yes
R.oo	40	52	yes
R.utils	40	52	yes
DT	39	52	yes
bslib	38	52	yes
cachem	38	52	yes
crosstalk	38	52	yes
jquerylib	38	52	yes
sass	38	52	yes
yaml	38	52	yes
farver	26	52	no
labeling	25	52	no
Rcpp	20	52	no
data.table	19	52	no
janitor	16	52	no
snakecase	16	52	no
lattice	13	52	no
RColorBrewer	11	52	no
ellipsis	11	52	no
xml2	11	52	no
xtable	11	52	no
MASS	10	52	no
backports	10	52	no
broom	10	52	no
curl	10	52	no
png	10	52	no
Matrix	9	52	no
crayon	9	52	no
splines	9	52	no
httpuv	8	52	no
later	8	52	no
mime	8	52	no
promises	8	52	no
shiny	8	52	no
systemfonts	8	52	no
viridisLite	8	52	no
nlme	7	52	no
askpass	6	52	no
broom.helpers	6	52	no
cellranger	6	52	no
commonmark	6	52	no
crul	6	52	no
flextable	6	52	no
fontBitstreamVera	6	52	no
fontLiberation	6	52	no
fontquiver	6	52	no
gdtools	6	52	no
gfonts	6	52	no
gt	6	52	no
gtsummary	6	52	no
httpcode	6	52	no
markdown	6	52	no
officer	6	52	no
openssl	6	52	no
ragg	6	52	no
readxl	6	52	no
survival	6	52	no
textshaping	6	52	no
uuid	6	52	no
zip	6	52	no
zoo	6	52	no
DBI	5	52	no
abind	5	52	no
base64enc	5	52	no
class	5	52	no
e1071	5	52	no
parallel	5	52	no
proxy	5	52	no
repr	5	52	no
rstudioapi	5	52	no
skimr	5	52	no
KernSmooth	4	52	no
apyramid	4	52	no
aweek	4	52	no
car	4	52	no
carData	4	52	no
classInt	4	52	no
cowplot	4	52	no
