chapter	path	kind	status	render_bytes	ref_bytes	render_sha16	ref_sha16	dimensions_match	pixel_diff_pct	pixels_differing	pixels_total	allowlisted	classification
basics	figure-html/unnamed-chunk-6-1.png	image	match	69170	69170	b34b28704b1a15dc	b34b28704b1a15dc	NA	NA	NA	NA	no	
basics	figure-html/unnamed-chunk-7-1.png	image	match	69170	69170	b34b28704b1a15dc	b34b28704b1a15dc	NA	NA	NA	NA	no	
basics	figure-html/unnamed-chunk-8-1.png	image	match	67367	67367	b216546e0464ef78	b216546e0464ef78	NA	NA	NA	NA	no	
epicurves	figure-html/ggplot_simple-1.png	image	match	25207	25207	59ba7c05e3580d0a	59ba7c05e3580d0a	NA	NA	NA	NA	no	
epicurves	figure-html/ggplot_simple-2.png	image	match	21908	21908	460b69232a089874	460b69232a089874	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-14-1.png	image	match	18450	18450	b3d63306270a60d1	b3d63306270a60d1	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-18-1.png	image	match	79566	79566	c707726d904b98e2	c707726d904b98e2	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-21-1.png	image	match	61908	61908	c94eaa5e4b885c44	c94eaa5e4b885c44	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-22-1.png	image	match	56753	56753	c88ef97a9b3203ce	c88ef97a9b3203ce	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-24-1.png	image	match	84061	84061	c73a9b620b6d9234	c73a9b620b6d9234	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-25-1.png	image	match	60769	60769	5ebba6c9fe003c7f	5ebba6c9fe003c7f	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-28-1.png	image	match	58635	58635	07d830af6dc46b87	07d830af6dc46b87	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-28-2.png	image	match	64043	64043	57d0ce3de3d6b0be	57d0ce3de3d6b0be	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-28-3.png	image	match	57258	57258	f9f8ba95d5781634	f9f8ba95d5781634	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-28-4.png	image	match	58782	58782	73c5932870a3fc59	73c5932870a3fc59	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-28-5.png	image	match	58267	58267	1746163b3fb7289f	1746163b3fb7289f	NA	NA	NA	NA	no	
epicurves	figure-html/unnamed-chunk-30-1.png	image	match	25285	25285	0d121126bdd75396	0d121126bdd75396	NA	NA	NA	NA	no	
