chapter	widget_index	render_widget_id	ref_widget_id	payload_bytes_render	payload_bytes_ref	match	note
age_pyramid	0	htmlwidget-37ca1cea1146f4eceb01	htmlwidget-cdb7c49e64c9ee54cd4e	28700	28700	yes	
age_pyramid	1	htmlwidget-97e9f5f535a023e9c7d8	htmlwidget-a97e3d73466b942768ff	916	916	yes	
age_pyramid	2	htmlwidget-c5e0342ac229bbb75be1	htmlwidget-fc8a75af6f85671adf7c	3157	3157	yes	
age_pyramid	3	htmlwidget-1e69139e4dd302cfcadb	htmlwidget-ef5b235c3603e4ee5f0f	892	892	yes	
age_pyramid	4	htmlwidget-81a3d8a300fef28fc832	htmlwidget-a800e68e57e7965ea29f	1443	1443	yes	
age_pyramid	5	htmlwidget-25e023cd1dc55d66db68	htmlwidget-565d536520dba7188c28	1413	1413	yes	
age_pyramid	6	htmlwidget-2ea38b94db2b9b6d2291	htmlwidget-6e44d19f9298c4961188	7340	7340	yes	
basics	NA			0	0	NA	no widgets on either side (valid, expected for text/figure-only chapters)
characters_strings	0	htmlwidget-81c81dd3fc19c053e32b	htmlwidget-296d64ba5564b41d85e0	28700	28700	yes	
characters_strings	1	htmlwidget-3be2b9d39d590684f9e1	htmlwidget-43103afa349fb0198b85	611	611	yes	
characters_strings	2	htmlwidget-e436b28ba7d024aaddd7	htmlwidget-819b3e1f14b5dfbfbe37	860	860	yes	
characters_strings	3	htmlwidget-3241c4f7c0abe9d956c1	htmlwidget-e17be96d677ddb24d44a	731	731	yes	
cleaning	0	htmlwidget-729bae59405acd89382a	htmlwidget-a9b665453314463314fa	13589	13589	yes	
cleaning	1	htmlwidget-e20d7cfb2af0b4ab30dc	htmlwidget-0e7e8039fedab9a06ba9	5178	5178	yes	
cleaning	2	htmlwidget-68ce602574afc04ff833	htmlwidget-b0e912037d8dc70a8db5	25305	25305	yes	
collaboration	NA			0	0	NA	no widgets on either side (valid, expected for text/figure-only chapters)
combination_analysis	0	htmlwidget-560f525aa3521962173d	htmlwidget-f6f8cc9d0aa3ca4ad317	28700	28700	yes	
