chapter	similarity	similarity_vs_p3	assets_mismatched	assets_total	widgets_mismatched	widgets_total
age_pyramid	0.9962	0.9971	9	11	0	7
basics	0.9986	0.9989	3	3	0	0
characters_strings	0.9974	0.9980	0	0	0	4
cleaning	0.9992	0.9995	0	2	0	3
collaboration	0.9980	0.9986	0	0	0	0
combination_analysis	0.9887	0.9917	2	3	0	2
contact_tracing	0.9930	0.9938	7	8	0	9
data_table	0.9954	0.9972	0	0	0	0
data_used	0.9963	0.9979	0	0	0	0
dates	0.9955	0.9962	0	0	0	4
deduplication	0.9984	0.9993	0	0	0	14
diagrams	0.9940	0.9955	0	0	0	12
directories	0.9928	0.9976	0	0	2	2
editorial_style	0.9758	0.9780	0	0	0	0
epicurves	0.9979	0.9983	11	27	0	5
epidemic_models	NA	NA	11	11	0	0
errors	0.9915	0.9953	0	0	0	0
factors	0.9968	0.9977	5	11	0	0
flexdashboard	0.9955	0.9966	0	0	0	1
ggplot_basics	0.9985	0.9989	14	41	0	5
ggplot_tips	0.9981	0.9986	25	41	0	1
grouping	0.9967	0.9976	0	0	0	5
heatmaps	0.9943	0.9954	3	5	0	12
help	0.9925	0.9958	0	0	0	0
importing	0.9975	0.9981	0	0	0	4
index	0.9955	0.9991	0	0	0	0
interactive_plots	0.9913	0.9936	1	2	4	6
iteration	0.9890	0.9895	1	8	0	1
joining_matching	0.9978	0.9984	0	0	0	23
missing_data	0.9902	0.9909	3	8	0	1
moving_average	0.9881	0.9898	2	3	0	4
network_drives	0.9939	0.9966	0	0	0	0
packages_suggested	0.9920	0.9955	0	0	0	0
phylogenetic_trees	0.9981	0.9990	26	26	0	1
pivoting	0.9954	0.9962	5	6	0	4
r_projects	0.9922	0.9961	0	0	0	0
regression	0.9929	0.9807	1	4	3	6
reportfactory	0.9956	0.9975	0	0	0	0
rmarkdown	0.9975	0.9981	0	0	0	0
shiny_basics	0.9985	0.9989	1	2	0	0
standardization	NA	NA	0	0	0	0
stat_tests	0.9794	0.9562	1	1	1	1
survey_analysis	NA	NA	2	2	0	0
survival_analysis	0.9939	0.9945	5	8	0	1
tables_descriptive	NA	NA	1	1	0	0
tables_presentation	0.9921	0.9929	0	0	1	1
time_series	0.9917	0.9921	15	22	0	1
transition_to_R	0.9944	0.9958	0	0	0	1
transmission_chains	0.9796	0.9822	0	2	10	11
writing_functions	NA	NA	0	0	0	0
