chapter	n_packages	packages
age_pyramid	71	DT,R.methodsS3,R.oo,R.utils,R6,RColorBrewer,S7,apyramid,base,bslib,cachem,cli,compiler,crosstalk,data.table,datasets,dichromat,digest,dplyr,evaluate,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,janitor,jquerylib,jsonlite,knitr,labeling,lifecycle,lubridate,magrittr,methods,otel,pacman,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,snakecase,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utils,vctrs,withr,xfun,yaml
basics	62	R.methodsS3,R.oo,R.utils,R6,RColorBrewer,S7,apyramid,base,cli,compiler,datasets,dichromat,digest,dplyr,evaluate,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,janitor,jsonlite,knitr,lifecycle,lubridate,magrittr,methods,otel,pacman,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rprojroot,scales,snakecase,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utils,vctrs,withr,xfun
characters_strings	67	DT,R.methodsS3,R.oo,R.utils,R6,RColorBrewer,S7,base,bslib,cachem,cli,compiler,crayon,crosstalk,datasets,dichromat,digest,dplyr,evaluate,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,jquerylib,jsonlite,knitr,lifecycle,lubridate,magrittr,methods,otel,pacman,pillar,pkgconfig,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utils,vctrs,withr,xfun,yaml
cleaning	88	DBI,DT,KernSmooth,R.methodsS3,R.oo,R.utils,R6,RColorBrewer,Rcpp,S7,base,base64enc,bslib,cachem,cellranger,class,classInt,cli,compiler,crosstalk,data.table,datasets,dichromat,digest,dplyr,e1071,epikit,evaluate,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,haven,here,hms,htmltools,htmlwidgets,janitor,jquerylib,jsonlite,knitr,lifecycle,lubridate,magrittr,matchmaker,methods,otel,pacman,pillar,pkgconfig,png,proxy,purrr,readr,readxl,repr,rio,rlang,rmarkdown,rprojroot,sass,scales,sf,skimr,snakecase,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,units,utf8,utils,vctrs,withr,xfun,yaml
collaboration	24	base,cli,compiler,datasets,digest,evaluate,fastmap,grDevices,graphics,here,htmltools,htmlwidgets,jsonlite,knitr,methods,otel,png,rlang,rmarkdown,rprojroot,stats,tools,utils,xfun
combination_analysis	72	DT,R.methodsS3,R.oo,R.utils,R6,RColorBrewer,Rcpp,S7,UpSetR,base,bslib,cachem,cli,compiler,crosstalk,datasets,dichromat,digest,dplyr,evaluate,farver,fastmap,forcats,generics,ggplot2,ggupset,glue,grDevices,graphics,grid,gridExtra,gtable,here,hms,htmltools,htmlwidgets,jquerylib,jsonlite,knitr,labeling,lifecycle,lubridate,magrittr,methods,otel,pacman,pillar,pkgconfig,plyr,purrr,readr,rio,rlang,rmarkdown,rprojroot,sass,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utils,vctrs,withr,xfun,yaml
contact_tracing	89	DBI,DT,KernSmooth,R.methodsS3,R.oo,R.utils,R6,RColorBrewer,Rcpp,S7,apyramid,base,bslib,cachem,class,classInt,cli,compiler,crosstalk,datasets,dichromat,digest,dplyr,e1071,epikit,evaluate,farver,fastmap,forcats,formattable,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,janitor,jquerylib,jsonlite,kableExtra,knitr,labeling,lifecycle,lubridate,magrittr,methods,otel,pacman,pillar,pkgconfig,proxy,purrr,readr,rio,rlang,rmarkdown,rprojroot,rstudioapi,sass,scales,sf,snakecase,stats,stringi,stringr,svglite,systemfonts,textshaping,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,units,utf8,utils,vctrs,viridisLite,withr,xfun,xml2,yaml
data_table	62	R.methodsS3,R.oo,R.utils,R6,RColorBrewer,S7,base,cellranger,cli,compiler,data.table,datasets,dichromat,digest,dplyr,evaluate,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,jsonlite,knitr,lifecycle,lubridate,magrittr,methods,otel,pacman,pillar,pkgconfig,purrr,readr,readxl,rio,rlang,rmarkdown,rprojroot,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utils,vctrs,withr,xfun
data_used	24	base,cli,compiler,datasets,digest,evaluate,fastmap,grDevices,graphics,here,htmltools,htmlwidgets,jsonlite,knitr,methods,otel,png,rlang,rmarkdown,rprojroot,stats,tools,utils,xfun
dates	73	DT,R.methodsS3,R.oo,R.utils,R6,RColorBrewer,S7,aweek,base,bslib,cachem,cellranger,cli,compiler,crayon,crosstalk,datasets,dichromat,digest,dplyr,evaluate,farver,fastmap,forcats,generics,ggplot2,glue,grDevices,graphics,grid,gtable,here,hms,htmltools,htmlwidgets,jquerylib,jsonlite,knitr,lattice,lifecycle,lubridate,magrittr,methods,otel,pacman,parsedate,pillar,pkgconfig,purrr,readr,readxl,rio,rlang,rmarkdown,rprojroot,sass,scales,stats,stringi,stringr,tibble,tidyr,tidyselect,tidyverse,timechange,tools,tzdb,utils,vctrs,withr,xfun,yaml,zoo
